"game","show","date"
1501,5136,2007-01-01
1502,5137,2007-01-02
1503,3809,2001-03-08
1504,3810,2001-03-09
1505,3812,2001-03-13
1506,3813,2001-03-14
1507,3814,2001-03-15
1508,3815,2001-03-16
1509,3816,2001-03-19
1510,3817,2001-03-20
1511,3818,2001-03-21
1512,3819,2001-03-22
1513,3820,2001-03-23
1514,3821,2001-03-26
1515,3822,2001-03-27
1516,5138,2007-01-03
1517,4559,2004-06-03
1518,5139,2007-01-04
1519,4136,2002-09-02
1520,3837,2001-04-17
1521,3838,2001-04-18
1522,3839,2001-04-19
1523,3840,2001-04-20
1524,3841,2001-04-23
1525,3842,2001-04-24
1526,3843,2001-04-25
1527,3844,2001-04-26
1528,3845,2001-04-27
1529,3846,2001-04-30
1530,3847,2001-05-01
1531,3848,2001-05-02
1532,3849,2001-05-03
1533,3850,2001-05-04
1534,3851,2001-05-07
1535,3852,2001-05-08
1536,3853,2001-05-09
1537,3854,2001-05-10
1539,4560,2004-06-04
1540,4111,2002-06-17
1541,4112,2002-06-18
1542,4113,2002-06-19
1543,4114,2002-06-20
1544,4115,2002-06-21
1545,4116,2002-06-24
1546,4117,2002-06-25
1547,4118,2002-06-26
1548,4119,2002-06-27
1549,4120,2002-06-28
1550,5140,2007-01-05
1551,4561,2004-06-07
1552,4562,2004-06-08
1553,3856,2001-05-14
1554,3857,2001-05-15
1555,3858,2001-05-16
1556,3859,2001-05-17
1557,3860,2001-05-18
1558,3861,2001-05-21
1559,3863,2001-05-23
1560,3864,2001-05-24
1561,3865,2001-05-25
1562,3867,2001-05-29
1563,3868,2001-05-30
1564,3877,2001-06-12
1565,3878,2001-06-13
1566,3879,2001-06-14
1567,3880,2001-06-15
1568,3881,2001-06-18
1569,3882,2001-06-19
1570,3883,2001-06-20
1571,3884,2001-06-21
1572,3886,2001-06-25
1573,3887,2001-06-26
1574,3888,2001-06-27
1575,3889,2001-06-28
1576,4563,2004-06-09
1577,4309,2003-05-01
1578,3890,2001-06-29
1579,3891,2001-07-02
1580,3892,2001-07-03
1581,3893,2001-07-04
1582,3896,2001-07-09
1583,3897,2001-07-10
1584,3898,2001-07-11
1585,3904,2001-07-19
1586,3905,2001-07-20
1587,4564,2004-06-10
1588,3791,2001-02-12
1589,3792,2001-02-13
1590,3793,2001-02-14
1591,3794,2001-02-15
1593,3796,2001-02-19
1594,4565,2004-06-11
1595,3797,2001-02-20
1596,3798,2001-02-21
1597,3799,2001-02-22
1598,3800,2001-02-23
1599,3801,2001-02-26
1600,3802,2001-02-27
1601,3803,2001-02-28
1602,3804,2001-03-01
1603,3805,2001-03-02
1604,3806,2001-03-05
1605,3807,2001-03-06
1606,3808,2001-03-07
1607,5141,2007-01-08
1608,5142,2007-01-09
1609,4148,2002-09-18
1610,4566,2004-06-14
1611,4567,2004-06-15
1612,4568,2004-06-16
1613,4569,2004-06-17
1614,5143,2007-01-10
1615,3479,1999-10-21
1616,3480,1999-10-22
1617,3481,1999-10-25
1618,3482,1999-10-26
1619,4570,2004-06-18
1620,5144,2007-01-11
1621,5145,2007-01-12
1622,4122,2002-07-02
1623,3469,1999-10-07
1624,3470,1999-10-08
1625,3471,1999-10-11
1626,3472,1999-10-12
1627,3474,1999-10-14
1628,3475,1999-10-15
1629,3476,1999-10-18
1630,3477,1999-10-19
1631,5146,2007-01-15
1632,5147,2007-01-16
1633,3582,2000-03-14
1634,3583,2000-03-15
1635,3584,2000-03-16
1636,3585,2000-03-17
1637,5148,2007-01-17
1638,5149,2007-01-18
1639,3473,1999-10-13
1640,5150,2007-01-19
1641,5151,2007-01-22
1642,5152,2007-01-23
1643,3569,2000-02-24
1644,3570,2000-02-25
1645,3571,2000-02-28
1646,3572,2000-02-29
1647,3573,2000-03-01
1648,3574,2000-03-02
1649,3575,2000-03-03
1650,3576,2000-03-06
1651,3577,2000-03-07
1652,3578,2000-03-08
1653,3579,2000-03-09
1654,3580,2000-03-10
1655,5153,2007-01-24
1656,4121,2002-07-01
1657,4125,2002-07-05
1658,5154,2007-01-25
1659,5155,2007-01-26
1660,4126,2002-07-08
1661,4127,2002-07-09
1662,4128,2002-07-10
1663,4129,2002-07-11
1664,4130,2002-07-12
1665,4131,2002-07-15
1666,4132,2002-07-16
1667,4133,2002-07-17
1668,4134,2002-07-18
1669,4135,2002-07-19
1670,1102,1989-05-23
1671,1103,1989-05-24
1672,1104,1989-05-25
1673,1105,1989-05-26
1674,1106,1989-05-29
1675,5156,2007-01-29
1676,5157,2007-01-30
1677,5158,2007-01-31
1678,5159,2007-02-01
1679,1322,1990-05-08
1680,1324,1990-05-10
1681,5160,2007-02-02
1682,1321,1990-05-07
1683,1323,1990-05-09
1684,1325,1990-05-11
1685,1326,1990-05-14
1686,1327,1990-05-15
1687,1328,1990-05-16
1688,1329,1990-05-17
1690,5161,2007-02-05
1691,2046,1993-06-28
1692,2047,1993-06-29
1693,2048,1993-06-30
1694,2049,1993-07-01
1695,2050,1993-07-02
1696,2051,1993-07-05
1697,2052,1993-07-06
1698,5162,2007-02-06
1699,5163,2007-02-07
1700,5164,2007-02-08
1701,5165,2007-02-09
1702,3456,1999-09-20
1703,3457,1999-09-21
1704,3458,1999-09-22
1705,3459,1999-09-23
1706,3460,1999-09-24
1707,3461,1999-09-27
1708,3462,1999-09-28
1709,3463,1999-09-29
